gid,request,reason,priority_score
100000008165763100,запросить время транзакций для точного FlowTrace,"ранг 1: в выгрузке есть даты, но нет времени",0.7771240025487456
100000003115284100,запросить время транзакций для точного FlowTrace,"ранг 2: в выгрузке есть даты, но нет времени",0.737851358824621
100000008686313100,запросить время транзакций для точного FlowTrace,"ранг 3: в выгрузке есть даты, но нет времени",0.7377735549581477
100000005339662100,запросить время транзакций для точного FlowTrace,"ранг 4: в выгрузке есть даты, но нет времени",0.6852225938446697
100000005527892100,запросить время транзакций для точного FlowTrace,"ранг 5: в выгрузке есть даты, но нет времени",0.6833314477840716
100000004299488100,запросить время транзакций для точного FlowTrace,"ранг 6: в выгрузке есть даты, но нет времени",0.681665903712596
100000007055802100,запросить время транзакций для точного FlowTrace,"ранг 7: в выгрузке есть даты, но нет времени",0.6802613326392162
100000004070318100,запросить время транзакций для точного FlowTrace,"ранг 8: в выгрузке есть даты, но нет времени",0.6742375750184759
100000002398779100,запросить время транзакций для точного FlowTrace,"ранг 9: в выгрузке есть даты, но нет времени",0.6634241440271165
100000002398779100,запросить переводы < 5 000 ₸,67% исходящих в интервале 5–7 тыс. ₸,0.6634241440271165
100000008111003100,запросить время транзакций для точного FlowTrace,"ранг 10: в выгрузке есть даты, но нет времени",0.6479981775319537
100000008748408100,запросить время транзакций для точного FlowTrace,"ранг 11: в выгрузке есть даты, но нет времени",0.639050588066383
100000004486525100,запросить время транзакций для точного FlowTrace,"ранг 12: в выгрузке есть даты, но нет времени",0.6382239660911735
100000004071080100,запросить время транзакций для точного FlowTrace,"ранг 13: в выгрузке есть даты, но нет времени",0.6347657917851481
100000004071080100,запросить переводы < 5 000 ₸,60% исходящих в интервале 5–7 тыс. ₸,0.6347657917851481
100000003299365100,запросить время транзакций для точного FlowTrace,"ранг 14: в выгрузке есть даты, но нет времени",0.6235131119986468
100000004759121100,запросить время транзакций для точного FlowTrace,"ранг 15: в выгрузке есть даты, но нет времени",0.6117684411867736
100000003635170100,запросить время транзакций для точного FlowTrace,"ранг 16: в выгрузке есть даты, но нет времени",0.6097530061074644
