target_gid,path_rank,seed_gid,hops,path_gids,path_days,path_amounts,bottleneck_kzt
100000001162560100,1,100000005498992100,1,100000005498992100>100000001162560100,24,172000,172000.0
100000001162560100,2,100000005498992100,1,100000005498992100>100000001162560100,23,159300,159300.0
100000001530983100,1,100000003016635100,1,100000003016635100>100000001530983100,10,333890,333890.0
100000001530983100,2,100000006866783100,1,100000006866783100>100000001530983100,15,58724,58724.0
100000001530983100,3,100000006866783100,3,100000006866783100>100000004403675100>100000000331309100>100000001530983100,5>9>16,47187>59435>104000,47187.0
100000002398779100,1,100000006866783100,4,100000006866783100>100000004070318100>100000008346837100>100000005910114100>100000002398779100,9>10>10>10,34725>25000>92009>50175,25000.0
100000002398779100,2,100000006866783100,2,100000006866783100>100000004070318100>100000002398779100,9>9,34725>20000,20000.0
100000002398779100,3,100000006866783100,2,100000006866783100>100000004847758100>100000002398779100,6>7,18775>15000,15000.0
100000002443664100,1,100000005498992100,2,100000005498992100>100000001162560100>100000002443664100,23>26,159300>74880,74880.0
100000002443664100,2,100000005498992100,2,100000005498992100>100000001162560100>100000002443664100,24>26,172000>74880,74880.0
100000002781227100,1,100000008522127100,1,100000008522127100>100000002781227100,11,60000,60000.0
100000002781227100,2,100000008522127100,1,100000008522127100>100000002781227100,13,55000,55000.0
100000002781227100,3,100000008522127100,1,100000008522127100>100000002781227100,1,30000,30000.0
100000002894076100,1,100000007747786100,1,100000007747786100>100000002894076100,14,294262,294262.0
100000002894076100,2,100000007747786100,1,100000007747786100>100000002894076100,10,282000,282000.0
100000002894076100,3,100000000343175100,1,100000000343175100>100000002894076100,14,80000,80000.0
100000003071930100,1,100000005498992100,1,100000005498992100>100000003071930100,27,162610,162610.0
100000003071930100,2,100000005498992100,1,100000005498992100>100000003071930100,24,65000,65000.0
100000003071930100,3,100000006866783100,4,100000006866783100>100000007639767100>100000008603629100>100000002723538100>100000003071930100,12>18>22>22,23018>20000>70647>50000,20000.0
100000003115284100,1,100000000343175100,1,100000000343175100>100000003115284100,19,300000,300000.0
100000003115284100,2,100000000343175100,1,100000000343175100>100000003115284100,18,245000,245000.0
100000003115284100,3,100000003684369100,1,100000003684369100>100000003115284100,19,120000,120000.0
100000003265158100,1,100000008680731100,1,100000008680731100>100000003265158100,11,80700,80700.0
100000003265158100,2,100000007747786100,1,100000007747786100>100000003265158100,8,18600.4,18600.4
100000003299365100,1,100000003684369100,1,100000003684369100>100000003299365100,26,200000,200000.0
100000003299365100,2,100000004358004100,2,100000004358004100>100000003684369100>100000003299365100,22>26,65000>200000,65000.0
100000003299365100,3,100000004358004100,2,100000004358004100>100000003684369100>100000003299365100,24>26,51000>200000,51000.0
100000003404627100,1,100000001732159100,1,100000001732159100>100000003404627100,13,315000,315000.0
100000003404627100,2,100000008637537100,2,100000008637537100>100000001732159100>100000003404627100,13>13,318000>315000,315000.0
100000003404627100,3,100000008314203100,2,100000008314203100>100000001732159100>100000003404627100,7>13,70000>150000,70000.0
100000003635170100,1,100000000343175100,1,100000000343175100>100000003635170100,20,25000,25000.0
100000003635170100,2,100000008418835100,2,100000008418835100>100000000343175100>100000003635170100,16>20,31500>25000,25000.0
100000003635170100,3,100000003016635100,3,100000003016635100>100000005339662100>100000000343175100>100000003635170100,16>17>20,26925>28100>25000,25000.0
100000004070318100,1,100000006866783100,1,100000006866783100>100000004070318100,9,34725,34725.0
100000004071080100,1,100000006866783100,1,100000006866783100>100000004071080100,9,21000,21000.0
100000004071080100,2,100000006866783100,3,100000006866783100>100000004390333100>100000008603629100>100000004071080100,2>3>4,45751>50000>20000,20000.0
100000004071080100,3,100000006866783100,4,100000006866783100>100000008304139100>100000005782781100>100000004847758100>100000004071080100,5>10>15>18,23567>25000>23717>20000,20000.0
100000004135268100,1,100000008571433100,1,100000008571433100>100000004135268100,11,864000,864000.0
100000004135268100,2,100000008571433100,1,100000008571433100>100000004135268100,10,200000,200000.0
100000004299488100,1,100000006866783100,1,100000006866783100>100000004299488100,9,135000,135000.0
100000004299488100,2,100000006866783100,1,100000006866783100>100000004299488100,11,100000,100000.0
100000004299488100,3,100000006866783100,2,100000006866783100>100000007055802100>100000004299488100,13>13,100000>104000,100000.0
100000004486525100,1,100000006866783100,2,100000006866783100>100000002681449100>100000004486525100,2>2,11900>13000,11900.0
100000004486525100,2,100000006866783100,2,100000006866783100>100000004622227100>100000004486525100,3>6,24931>6000,6000.0
100000004707703100,1,100000003016635100,1,100000003016635100>100000004707703100,3,120000,120000.0
100000004707703100,2,100000003016635100,1,100000003016635100>100000004707703100,7,112300,112300.0
100000004707703100,3,100000003016635100,2,100000003016635100>100000004186824100>100000004707703100,20>24,94000>7000,7000.0
100000004759121100,1,100000006866783100,1,100000006866783100>100000004759121100,15,50000,50000.0
100000004759121100,2,100000006866783100,3,100000006866783100>100000004070318100>100000004400305100>100000004759121100,9>14>16,34725>19800>60000,19800.0
100000005339662100,1,100000003016635100,1,100000003016635100>100000005339662100,16,26925,26925.0
100000005527892100,1,100000004358004100,1,100000004358004100>100000005527892100,28,70000,70000.0
100000005660203100,1,100000003016635100,2,100000003016635100>100000006518161100>100000005660203100,13>14,143500>100000,100000.0
100000005660203100,2,100000003016635100,2,100000003016635100>100000006518161100>100000005660203100,14>14,138600>100000,100000.0
100000005660203100,3,100000003016635100,2,100000003016635100>100000006518161100>100000005660203100,21>27,47000>100000,47000.0
100000006518161100,1,100000003016635100,1,100000003016635100>100000006518161100,13,143500,143500.0
100000006518161100,2,100000003016635100,1,100000003016635100>100000006518161100,14,138600,138600.0
100000006518161100,3,100000003016635100,1,100000003016635100>100000006518161100,21,47000,47000.0
100000007055802100,1,100000006866783100,1,100000006866783100>100000007055802100,13,100000,100000.0
100000007055802100,2,100000006866783100,2,100000006866783100>100000004299488100>100000007055802100,11>12,100000>80000,80000.0
100000007055802100,3,100000006866783100,2,100000006866783100>100000004299488100>100000007055802100,9>12,135000>80000,80000.0
100000007777377100,1,100000003016635100,2,100000003016635100>100000001530983100>100000007777377100,10>10,333890>200000,200000.0
100000007777377100,2,100000003016635100,2,100000003016635100>100000001530983100>100000007777377100,10>15,333890>40000,40000.0
100000007777377100,3,100000006866783100,2,100000006866783100>100000001530983100>100000007777377100,15>15,58724>40000,40000.0
100000008111003100,1,100000006866783100,4,100000006866783100>100000004070318100>100000008346837100>100000005910114100>100000008111003100,9>10>10>13,34725>25000>92009>28008,25000.0
100000008111003100,2,100000006866783100,2,100000006866783100>100000000089154100>100000008111003100,16>16,10000>27000,10000.0
100000008111003100,3,100000006866783100,2,100000006866783100>100000000089154100>100000008111003100,16>19,10000>10000,10000.0
100000008165763100,1,100000004358004100,1,100000004358004100>100000008165763100,23,83000,83000.0
100000008165763100,2,100000004358004100,1,100000004358004100>100000008165763100,21,37000,37000.0
100000008165763100,3,100000004358004100,1,100000004358004100>100000008165763100,28,28000,28000.0
100000008686313100,1,100000006866783100,1,100000006866783100>100000008686313100,11,140180,140180.0
100000008686313100,2,100000006866783100,1,100000006866783100>100000008686313100,15,62706,62706.0
100000008686313100,3,100000006866783100,3,100000006866783100>100000007639767100>100000008603629100>100000008686313100,12>18>18,23018>20000>75693,20000.0
100000008723830100,1,100000003016635100,1,100000003016635100>100000008723830100,16,454000,454000.0
100000008748408100,1,100000007982728100,1,100000007982728100>100000008748408100,26,250000,250000.0
100000008748408100,2,100000007982728100,1,100000007982728100>100000008748408100,28,110000,110000.0
